Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
AMD Ryzen Threadripper 3970X,2019 Q4,7 nm FinFET,32,64,3.7,4.5,128,512,64.0,280
AMD Ryzen Threadripper 3960X,2019 Q4,7 nm FinFET,24,48,3.8,4.5,128,512,64.0,280
AMD Ryzen Threadripper 2990WX,2018 Q4,12 nm,32,64,3.0,4.2,64,1000,60.0,250
AMD Ryzen Threadripper 2970WX,2018 Q4,12 nm,24,48,3.0,4.2,64,1000,60.0,250
AMD Ryzen Threadripper 2950X,2018 Q3,12 nm,16,32,3.5,4.4,32,1000,60.0,180
AMD Ryzen Threadripper 2920X,2018 Q4,12 nm,12,24,3.5,4.3,32,1000,60.0,180
AMD Ryzen Threadripper 1950X,2017 Q3,14 nm,16,32,3.4,4.0,32,1000,60.0,180
AMD Ryzen Threadripper 1920X,2017 Q3,14 nm,12,24,3.5,4.0,32,1000,60.0,180
AMD Ryzen Threadripper 1900X,2017 Q3,14 nm,8,16,3.8,4.0,16,1000,60.0,180
AMD Ryzen 9 PRO 3900,2019 Q3,7 nm FinFET,12,24,3.1,4.3,64,128,20.0,65
AMD Ryzen 9 5950X,2020 Q4,7nm FinFET,16,32,3.4,4.9,64,128,20.0,105
AMD Ryzen 9 5900X,2020 Q4,7nm FinFET,12,24,3.7,4.8,64,128,20.0,105
AMD Ryzen 9 5900,2020 Q4,7 nm EUV,12,24,3.2,4.5,64,128,20.0,105
AMD Ryzen 9 4900U,2020 Q3,7nm FinFET,8,16,1.8,4.3,8,32,12.0,15
AMD Ryzen 9 4900HS,2020 Q1,7nm FinFET,8,16,3.0,4.3,8,32,16.0,35
AMD Ryzen 9 4900H,2020 Q1,7nm FinFET,8,16,3.3,4.4,8,32,16.0,35
AMD Ryzen 9 3950X,2019 Q4,7 nm FinFET,16,32,3.5,4.7,64,128,20.0,105
AMD Ryzen 9 3900XT,2020 Q3,7 nm FinFET,12,24,3.8,4.7,64,128,20.0,105
AMD Ryzen 9 3900X,2019 Q3,7 nm FinFET,12,24,3.8,4.6,64,128,20.0,105
AMD Ryzen 9 3900,2019 Q3,7 nm FinFET,12,24,3.1,4.3,64,128,20.0,65
