Name,Year,Build,Cores,Threads,Base,Turbo,Cache,Memory capacity,PCIe,TDP
Intel Core i7-4790K,2014 Q2,22 nm,4,8,4.0,4.4,8.0,32.0,16.0,88
Intel Core i7-4790,2014 Q2,22 nm,4,8,3.6,4.0,8.0,32.0,16.0,84
Intel Core i7-4771,2013 Q3,22 nm,4,8,3.5,3.9,8.0,32.0,16.0,84
Intel Core i7-4770K,2013 Q2,22 nm,4,8,3.5,3.9,8.0,32.0,16.0,84
Intel Core i7-4770HQ,2014 Q3,22 nm,4,8,2.2,3.4,6.0,32.0,16.0,47
Intel Core i7-4770,2013 Q2,22 nm,4,8,3.4,3.9,8.0,32.0,16.0,84
Intel Core i7-4700MQ,2013 Q2,22 nm,4,8,2.4,3.4,6.0,32.0,16.0,47
Intel Core i7-4510U,2014 Q2,22 nm,2,4,2.0,3.1,4.0,16.0,12.0,15
Intel Core i7-4500U,2013 Q3,22 nm,2,4,1.8,3.0,4.0,16.0,12.0,15
Intel Core i7-3970X,2012 Q4,32 nm,6,12,3.5,4.0,15.0,64.45,40.0,150
Intel Core i7-3960X,2011 Q4,32 nm,6,12,3.3,3.9,15.0,64.0,40.0,130
Intel Core i7-3930K,2011 Q4,32 nm,6,12,3.2,3.8,12.0,64.0,40.0,130
Intel Core i7-3820,2012 Q1,32 nm,4,8,3.6,3.8,10.0,64.23,40.0,130
Intel Core i7-3770K,2012 Q2,22 nm,4,8,3.5,3.9,8.0,32.0,16.0,77
Intel Core i7-3770,2012 Q2,22 nm,4,8,3.4,3.9,8.0,32.0,16.0,77
Intel Core i7-3630QM,2012 Q3,22 nm,4,8,2.4,3.4,6.0,32.0,16.0,45
Intel Core i7-3615QM,2012 Q2,22 nm,4,8,2.3,3.3,6.0,32.0,16.0,45
Intel Core i7-3610QM,2012 Q2,22 nm,4,8,2.3,3.3,6.0,32.0,16.0,45
Intel Core i7-2700K,2011 Q4,32 nm,4,8,3.5,3.9,8.0,32.0,16.0,95
Intel Core i7-2670QM,2011 Q4,32 nm,4,8,2.2,3.1,6.0,32.0,16.0,45
Intel Core i7-2600K,2011 Q1,32 nm,4,8,3.4,3.8,8.0,32.0,16.0,95
Intel Core i7-2600,2011 Q1,32 nm,4,8,3.4,3.8,8.0,32.0,16.0,95
Intel Core i7-1185G7,2020 Q3,10 nm+,4,8,3.0,4.7,8.0,64.0,16.0,15
Intel Core i7-1165G7,2020 Q3,10 nm+,4,8,2.8,3.9,8.0,64.0,16.0,15
Intel Core i7-10875H,2020 Q2,14 nm+++,8,16,2.3,5.1,16.0,128.0,16.0,45
Intel Core i7-10850H,2020 Q2,14 nm+++,6,12,2.7,5.1,12.0,128.0,16.0,45
Intel Core i7-10750H,2020 Q2,14 nm+++,6,12,2.6,5.0,12.0,128.0,16.0,45
Intel Core i7-10710U,2019 Q3,14 nm++,6,12,1.1,4.7,12.0,64.0,16.0,15
Intel Core i7-10700T,2020 Q2,14 nm+++,8,16,2.0,4.5,16.0,128.0,16.0,35
Intel Core i7-10700KF,2020 Q2,14 nm+++,8,16,3.8,5.1,16.0,128.0,16.0,125
Intel Core i7-10700KA,2020 Q4,14 nm+++,8,16,3.8,5.1,16.0,128.0,16.0,125
Intel Core i7-10700K,2020 Q2,14 nm+++,8,16,3.8,5.1,16.0,128.0,16.0,125
Intel Core i7-10700F,2020 Q2,14 nm+++,8,16,2.9,4.8,16.0,128.0,16.0,65
Intel Core i7-10700,2020 Q2,14 nm+++,8,16,2.9,4.8,16.0,128.0,16.0,65
Intel Core i7-1068NG7,2020 Q2,10 nm+,4,8,2.3,4.1,8.0,64.0,16.0,28
Intel Core i7-1068G7,2019 Q3,10 nm+,4,8,2.3,4.1,8.0,64.0,16.0,15
Intel Core i7-1065G7,2019 Q3,10 nm+,4,8,1.3,3.9,8.0,64.0,16.0,15
Intel Core i7-10610U,2020 Q2,14 nm++,4,8,1.8,4.9,8.0,64.0,16.0,15
